0,1,2,3,label
3.079358,-7.983924,-2.8614042,-6.4534287,0
-16.454721,5.548169,-1.5092015,-1.7779207,1
-7.9334083,1.4083258,-15.280414,-0.64650035,1
-11.360335,-2.2847373,-5.637422,8.553872,3
-5.818801,-0.16241655,2.1046758,-14.119304,2
-15.903869,-2.2446346,5.8922496,-7.2094984,2
-4.950305,-23.441444,-11.736683,15.292646,3
-4.637903,-6.119551,7.9278665,-10.514039,2
-3.9888942,-4.5825806,6.114108,-3.8917267,2
-4.8688684,2.0797074,-0.59535736,-8.132824,1
5.4400578,-7.3746123,-7.581032,-5.086127,0
6.3274164,-1.1987528,-5.1012907,-10.002543,0
2.0656211,-1.825891,-10.097138,-6.99727,0
-7.0010076,-4.592621,16.109991,-16.232231,2
-7.744717,-0.9257879,-15.095957,6.075782,3
-200.389,104.947075,-27.684204,-73.92259,1
-4.260399,-0.8296304,8.572339,-12.6410675,2
-12.191782,6.091987,-16.330168,3.8764405,1
-4.271159,4.103257,-10.750648,-5.2785583,1
5.6409225,-2.2015827,-3.8620942,-12.085042,0
-5.787722,4.4728446,-6.448613,-0.22801596,1
3.0673633,-2.8936155,-3.9930708,-2.1966193,0
-2.7652745,-6.3560166,10.776388,-9.759053,2
-18.857853,-19.432304,-4.761446,16.682827,3
-11.329601,-3.6997418,-9.050605,10.608207,3
-2.4417114,-6.2684646,8.036092,-11.528834,2
-32.493015,-38.326736,-0.15538633,18.20285,3
-14.737396,-2.0657604,14.098712,-48.903408,2
-11.464314,5.973157,-17.939661,-1.3176446,1
4.726151,-4.788918,-3.2930818,-8.740389,0
-0.2508705,-5.8407536,-4.389688,-2.5568986,0
5.786966,1.7567095,-10.468411,-26.794226,0
-8.834706,-6.8339286,6.218363,-0.6669925,2
-6.517751,-1.6173584,-3.454209,2.405724,3
-6.1708174,-9.878525,5.5276723,-6.949741,2
-16.378326,-9.136663,24.462048,-19.551659,2
-11.528169,5.771506,-8.252388,-2.4503982,1
-8.962028,-3.779383,11.427578,-13.680895,2
11.104915,-1.9374425,-1.6477581,-18.874224,0
-13.406356,2.2938514,10.4363785,-7.7935443,2
-5.6432395,3.4123447,-4.6529794,-2.0810404,1
-6.1087418,-18.092976,-131.84502,47.0551,3
10.265172,-9.486669,-0.10579109,-69.90881,0
-98.89564,-42.66598,-22.543283,49.881947,3
-13.754354,-1.9518583,10.56635,-6.7722034,2
-10.728691,-3.620262,-5.879293,6.6649485,3
-8.607084,-6.301969,-1.7819245,4.9712977,3
-4.853913,3.0226104,-11.713619,1.9557064,1
-6.010639,-0.9768522,-5.0787153,2.149169,3
-3.2162879,-2.8460925,5.4797406,-8.288591,2
-38.775597,26.97616,-81.672615,-31.253208,1
-1.845367,-0.097454906,6.187359,-12.415573,2
-3.0673833,-3.172243,4.145392,-12.953431,2
-15.596953,11.383133,-4.6683006,-12.415698,1
-9.41626,-2.0728557,13.009986,-15.986228,2
5.605215,-6.776642,-1.1896752,-9.532666,0
-0.5478563,-10.05227,4.407029,-6.396065,2
-16.10353,0.42156792,8.209985,-6.973176,2
-23.252134,-35.62406,-21.333845,17.398674,3
11.355526,-10.7466955,-37.91244,-38.440582,0
-47.498787,-46.544533,-29.217257,27.176907,3
