0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
0.934631,1.671908,2.688159,0,0.30143878,0.27734652,2.818637,0.7460282,2.559802,0.030440137,0.905744,0,1.2075593,0,1.8066483,2.989351,1.5341238,2.3761315,0.51318055,2.3947587,0,0,3.2090476,0.8651312,0.91565293,0.21305853,0.6002939,0.34742716,1.7877818,0.34029317,3.057432,1.476223,0
4.253569,1.3580577,0,2.53121,5.341355,5.1923122,1.0506227,2.7734518,0,4.8724093,3.9839702,3.4267917,4.29254,4.0857525,2.7747142,3.1611352,3.038089,2.3072846,8.617058,0.7387573,2.4108868,0,0.6300845,8.142242,1.8296582,5.7991657,1.2779033,5.4735622,0,3.3690312,0,3.0859134,1
0.8463779,2.2321572,2.7536314,0,0.030199561,1.1202326,1.5706809,2.2707698,1.0926659,0.7580435,1.2937782,1.4319284,3.4429598,0.9604812,3.8286054,5.429923,1.1784503,2.2400563,3.1317236,1.5169071,0,0,1.88555,2.4849427,2.087209,1.0192866,0,2.93438,1.2445892,1.5069226,3.1544223,0.62348056,1
2.9223907,2.673506,2.7242477,0,2.8900054,0,0,3.5120847,0.30659688,0,0,0,1.6992537,0,0.97990775,2.269009,0,0,2.4862154,0,0,0,2.9806697,2.7160668,0,0,0.5853221,1.566047,0.89700466,3.6748831,2.103312,2.5445387,3
1.00236,0,1.1059808,2.101551,0.93547046,2.1060555,4.720178,0,4.248032,1.7440073,2.7313375,0,0,1.1131951,0.7000281,1.1031934,3.6698565,4.180537,0.07298629,4.191971,2.2115064,0,3.090873,0.8560732,0.9075714,2.2861085,1.8165176,0,1.3064197,0,1.7786521,1.7464603,2
4.8016186,1.0743637,0.50979966,3.7298121,5.421665,3.4562604,3.038932,1.9230392,2.7502398,3.5808892,3.3096972,0.10467648,0.95478505,2.1077168,0.09147319,0.6005011,2.8680093,2.67866,4.565883,3.1077538,3.6184592,0,3.965923,5.603696,0,3.9417963,2.9423258,0.8534734,0,1.4151015,0.24453092,4.876346,2
5.505806,5.747127,6.1723943,0,4.6035843,0,0.2508232,6.8300614,1.3815814,0,0,0,2.2847598,0,1.073951,3.932452,0,0,2.430943,0.36331752,0,0,7.392329,3.662013,0,0,1.3370514,1.2868418,3.084455,6.577705,5.6772757,5.4014072,3
3.3078787,0,0.63500255,4.044269,3.7692087,3.6693943,4.624927,0,4.2459917,3.3781395,3.9740314,0.004229143,0.02777385,2.2196674,0,0.12307157,4.0416737,4.2096467,2.361837,4.657701,3.941699,0,4.3088307,3.668513,0,3.9700632,2.8916101,0,0.6503782,0,0.8233874,3.9321625,2
2.542847,0.6070633,0.93809855,2.8941278,2.6169562,3.4713156,4.906591,0,4.3250623,3.1453168,3.912758,0.31478256,0.75119406,1.9602473,1.2858303,1.6532962,4.285443,4.6467137,2.5801916,4.841891,2.8623476,0,4.17056,3.2971988,1.1895124,3.8110046,2.2756116,0.06538232,0.95353043,0,1.1967455,3.382847,2
0,0.23298885,0.6556968,0.66783506,0.2969419,1.6889281,1.4852797,0.15640298,0.479435,1.5605594,1.5634987,1.9659519,1.4631684,1.9987352,1.9194968,2.04747,1.6517166,2.0983412,1.882465,0.56925106,0.6479349,0,0.18087344,1.3916556,1.8467329,2.10601,0,1.3589662,0.756426,0,0.72880304,0,1
0.3296427,1.5393227,2.7985067,0,0,0,2.482616,0.44821352,2.4152749,0,0.086620755,0,0.4222848,0,1.2728131,2.250077,0.8604509,1.9337018,0,2.0705059,0,0,3.074669,0,0.59387964,0,0.4506547,0,2.063591,0,3.0494354,1.0829661,0
0.6705675,1.7185363,3.1840854,0,0,0,2.6253557,1.2797841,2.8289514,0,0.35423058,0,0.7164318,0,1.578901,2.6759942,0.7549215,2.0804381,0,2.501217,0,0,4.237886,0,0.3758697,0,0,0,2.8382745,0,3.7828019,1.2899234,0
0.3098536,1.7084996,2.9009361,0,0,1.208826,2.8298757,1.1509489,2.3435237,0.5645882,1.7621765,1.0399811,2.6453352,0.8048971,3.5027847,4.9864693,2.0320997,3.1984358,1.7811302,2.4709342,0,0,2.5947926,1.2816857,2.1547618,0.89647317,0,1.9181964,2.0416224,0,3.5889926,0.40746284,0
2.8120399,0,0,4.994029,3.5928986,5.3139057,5.3221974,0,4.311736,4.6020026,5.414203,1.068292,0.27828214,3.7617795,0.00405398,0,5.450115,5.2001204,2.6994112,5.1200047,4.8751693,0,3.1880128,4.0196443,0.50683814,5.669785,3.0097506,0,0.08112419,0,0,3.3371885,2
2.1781945,3.0967948,2.6536753,0,2.0652108,0.27685323,0,3.7761052,0,0.17676048,0.21808302,0.76125926,3.3750145,0.4265379,2.897681,4.5223274,0.18424147,0.4035972,4.1185603,0,0,0,2.016256,3.545975,0.9259069,0.38330132,0,3.581853,0.6784739,3.6799242,2.3598537,1.4717604,3
0.40050912,0.40096554,0,0.48319697,1.0957886,6.130491,0.61793673,1.3669881,0,5.615879,4.481418,6.4129057,5.8265114,5.088903,5.545736,5.138858,3.4335754,3.0749183,9.186183,0,0.24350905,0,0,6.738218,5.5450053,6.652962,0,7.495198,0,2.2230248,0,0,1
2.0309289,0,1.0200374,3.6381993,2.1627135,3.6392934,6.618839,0,6.0784893,3.2329044,4.2542396,0,0,1.9803411,0.75355226,1.0243087,5.2805233,5.9359837,0.99601656,6.1020975,3.59945,0,4.9092298,1.9951359,1.4592613,3.9859838,2.8183794,0,1.839598,0,1.646699,3.1938891,2
1.789662,2.7233984,1.616363,0,1.9733063,1.2228904,0,3.3978214,0,1.0316026,0.7915408,1.9757694,4.124496,1.3514872,3.4668224,4.7614994,0.5536165,0.63284206,5.29908,0,0,0,0.64959764,4.298636,1.8924614,1.4978354,0,4.75817,0,3.494284,1.3360206,0.6492943,1
0.6132549,2.052137,2.1207902,0,0,1.0193706,0.5562632,2.3580763,0,0.62251484,0.88229424,1.8975166,3.6081598,1.1183308,3.7964547,5.1834154,0.70637995,1.3501045,3.5470684,0.49517903,0,0,0.6621845,2.5658913,2.2263107,0.99107534,0,3.3584795,0.54865193,2.036279,2.3167777,0.11479588,1
0.05583485,1.9282012,3.5648813,0,0,0,2.6574094,1.3293083,2.7313015,0,0.13879287,0,1.1291422,0,2.220521,3.4387233,0.63295746,2.2389317,0,2.1795878,0,0,4.013105,0,1.0357497,0,0,0,3.3598635,0,4.240332,0.6062819,0
2.144742,2.0562973,0.6013685,0,2.4693058,1.5480845,0,2.8863354,0,1.6941017,1.007065,1.675102,2.9864817,1.2534891,2.4803412,3.165525,0.35329157,0.36664048,5.005959,0,0,0,0.23798642,4.336794,1.1838286,1.9547242,0,3.843272,0,3.4879627,0.002311759,1.3410207,1
0.099297844,1.5336145,2.4753985,0,0,0,2.1459646,0.9730121,2.0220423,0,0.48319468,0,0.61840504,0,1.7856958,2.757905,0.9114604,1.9076235,0.37323046,1.7042912,0,0,2.6828372,0.04946942,1.2237238,0,0,0.042209752,2.1329155,0,2.6775992,0.6966068,0
2.7287724,0,0.87125146,4.0031347,2.9430807,4.1039915,6.5080376,0,6.1522827,3.4365704,4.611041,0,0,2.202111,0.254201,0.5685466,5.3802567,5.6789474,1.2280015,6.262876,4.1094284,0,5.2391725,2.5003862,0.63218355,4.2764287,3.1903167,0,1.496691,0,1.2597573,3.969787,2
